dx,severity,issbr
S0000XA,1,General
S0001XA,1,General
S0002XA,1,General
S0003XA,1,General
S0004XA,1,General
S0005XA,1,General
S0006XA,1,General
S0007XA,1,General
S0010XA,1,Head/Neck
S0011XA,1,Head/Neck
S0012XA,1,Head/Neck
S00201A,1,General
S00202A,1,General
S00209A,1,General
S00211A,1,General
S00212A,1,General
S00219A,1,General
S00221A,1,General
S00222A,1,General
S00229A,1,General
S00241A,1,General
S00242A,1,General
S00249A,1,General
S00251A,1,General
S00252A,1,General
S00259A,1,General
S00261A,1,General
S00262A,1,General
S00269A,1,General
S00271A,1,General
S00272A,1,General
S00279A,1,General
S0030XA,1,General
S0031XA,1,General
S0032XA,1,General
S0033XA,1,General
S0034XA,1,General
S0035XA,1,General
S0036XA,1,General
S0037XA,1,General
S00401A,1,General
S00402A,1,General
S00409A,1,General
S00411A,1,General
S00412A,1,General
S00419A,1,General
S00421A,1,General
S00422A,1,General
S00429A,1,General
S00431A,1,General
S00432A,1,General
S00439A,1,General
S00441A,1,General
S00442A,1,General
S00449A,1,General
S00451A,1,General
S00452A,1,General
S00459A,1,General
S00461A,1,General
S00462A,1,General
S00469A,1,General
S00471A,1,General
S00472A,1,General
S00479A,1,General
S00501A,1,General
S00502A,1,General
S00511A,1,General
S00512A,1,General
S00521A,1,General
S00522A,1,General
S00531A,1,General
S00532A,1,General
S00541A,1,General
S00542A,1,General
S00551A,1,General
S00552A,1,General
S00561A,1,General
S00562A,1,General
S00571A,1,General
S00572A,1,General
S0080XA,1,General
S0081XA,1,General
S0082XA,1,General
S0083XA,1,General
S0084XA,1,General
S0085XA,1,General
S0086XA,1,General
S0087XA,1,General
S0090XA,1,General
S0091XA,1,General
S0092XA,1,General
S0093XA,1,General
S0094XA,1,General
S0095XA,1,General
S0096XA,1,General
S0097XA,1,General
S0100XA,1,General
S0101XA,1,General
S0102XA,2,General
S0103XA,1,General
S0104XA,2,General
S0105XA,1,General
S01101A,1,Face
S01102A,1,Face
S01109A,1,Face
S01111A,1,General
S01112A,1,General
S01119A,1,General
S01121A,1,General
S01122A,1,General
S01129A,1,General
S01131A,1,General
S01132A,1,General
S01139A,1,General
S01141A,1,General
S01142A,1,General
S01149A,1,General
S01151A,1,General
S01152A,1,General
S01159A,1,General
S0120XA,1,General
S0121XA,1,General
S0122XA,1,General
S0123XA,1,General
S0124XA,1,General
S0125XA,1,General
S01301A,1,Face
S01302A,1,Face
S01309A,1,Face
S01311A,1,Face
S01312A,1,Face
S01319A,1,Face
S01321A,1,General
S01322A,1,General
S01329A,1,General
S01331A,1,Face
S01332A,1,Face
S01339A,1,Face
S01341A,1,General
S01342A,1,General
S01349A,1,General
S01351A,1,Face
S01352A,1,Face
S01359A,1,Face
S01401A,1,General
S01402A,1,General
S01409A,1,General
S01411A,1,General
S01412A,1,General
S01419A,1,General
S01421A,1,General
S01422A,1,General
S01429A,1,General
S01431A,1,General
S01432A,1,General
S01439A,1,General
S01441A,1,General
S01442A,1,General
S01449A,1,General
S01451A,1,General
S01452A,1,General
S01459A,1,General
S01501A,1,General
S01502A,1,Face
S01511A,1,General
S01512A,1,Face
